N            Кол-во итераций      Количество образов
1            5,0000               1,0000
2            8,0000               2,0000
3            11,0000              3,0000
4            14,0000              4,0000
5            15,0000              5,0000
6            17,0000              6,0000
7            20,0000              7,0000
8            24,0000              8,0000
9            26,0000              9,0000
10           27,0000              10,0000
11           28,0000              11,0000
12           28,0000              12,0000
13           28,0000              13,0000
14           28,0000              14,0000
15           29,0000              15,0000
16           29,0000              16,0000
17           30,0000              17,0000
18           30,0000              18,0000
19           31,0000              19,0000
20           33,0000              20,0000
21           33,0000              21,0000
22           34,0000              22,0000
23           34,0000              23,0000
24           34,0000              24,0000
25           35,0000              25,0000
26           36,0000              26,0000
